s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
282.2138859,89675.2207495,43168.2810295,-2.3391983,-0.0539770,8.3333333,0.0000000
283.1965238,89675.9116726,43167.5823147,-2.3947083,-0.0733723,8.3333333,0.0000000
284.2106683,89676.5765636,43166.8165412,-2.4857068,-0.0822387,8.3333333,0.0000000
285.1757209,89677.1164930,43166.0166645,-2.5574749,-0.0597616,8.3333333,0.0000000
286.1982520,89677.6725956,43165.1585737,-2.6044880,-0.0567379,8.3333333,0.0000000
287.2212833,89678.1623543,43164.2603925,-2.6735358,-0.0669273,8.3333333,0.0000000
288.2148974,89678.5819567,43163.3597245,-2.7394566,-0.0679293,8.3333333,0.0000000
289.2188950,89678.9437463,43162.4231779,-2.8092322,-0.0706883,8.3333333,0.0000000
290.2487304,89679.2457902,43161.4386039,-2.8832247,-0.0702091,8.3333333,0.0000000
291.2756790,89679.4781922,43160.4379747,-2.9536372,-0.0922472,8.3333333,0.0000000
292.2445296,89679.6446794,43159.4811079,-3.0673315,-0.1096764,8.3333333,0.0000000
293.1648100,89679.6664841,43158.5585261,3.1223551,-0.0824660,8.3333333,0.0000000
